id_nestbox;coord_x;coord_y;lsource_0_m;lsource_0_iq;lsource_10_m;lsource_10_iq;lflux_0_m;lflux_0_iq;lflux_10_m;lflux_10_iq;lsource_vs150_m;lsource_vs150_iq;noise_m;noise_iq;soft_manag_area;trafic;woodyveg_volume;woodyveg_sd;vegetation_area;herbaceous_area;built_area;age_class;site;strata_div
DIJ-074;855462,7969;6693243,75;5;5;18;7,5;62,17149621;107,1746464;97,20563669;74,6048125;9;10;55,56045151;10,69063187;0;5589951,151;162346,0969;5,068257034;32204;11425;13871;2;bd_strasbourg;2
DIJ-075;855413,5732;6693242,538;3;4;16;7,75;59,0291139;93,57378066;88,33955699;68,65442851;8;10;56,30828094;10,39895153;0;5722089,741;165685,7844;5,082566298;31564;10856;12582;2;bd_strasbourg;
DIJ-076;855488,6991;6693278,742;5;6;19;7;62,17149621;146,6546061;97,20563669;136,0965154;11;10;55,83799744;12,49467468;0;5857343,451;157412,1088;5,205067436;33170;13403;12392;2;bd_strasbourg;3
DIJ-077;855436,3962;6693287,757;4;4;16;8;58,27014885;100,1014676;89,78489986;71,56024255;9;10;56,62437439;9,752632141;0;5441243,651;163140,8476;5,129561261;30145;10750;13327;2;bd_strasbourg;
DIJ-078;855392,9988;6693285,204;3;4,5;16;7,5;56,46176687;96,0569505;89,55697679;74,45944395;8;10;56,96873474;10,3205719;0;5383082,507;149736,3678;5,042646515;28152;9983;13579;1;bd_strasbourg;
DIJ-079;855334,6757;6693289,733;3;4;15;5,5;52,22139204;82,03372529;83,6971964;71,38289967;6;9;58,07891846;11,66204071;0;4912957,016;124706,3379;4,69153126;25515;9062;13682;1;bd_strasbourg;2
DIJ-080;854450,6738;6693812,136;7;13,5;40;22;101,4360212;142,344174;81,45720781;38,40244479;15;22;64,43675995;19,78794861;0;7159811,091;81256,55794;5,668733376;12068;3247;19668;0;republique;0
DIJ-081;854520,9096;6693782,556;5,5;12,5;36;35;90,35011158;92,34747168;82,78366572;42,99854092;10;18;60,33525848;23,07223892;0;6616849,627;67341,83234;5,002495938;11306;3257;22229;1;republique;2
DIJ-082;854368,374;6693848,805;4;14,25;42;33;111,8848365;153,015028;87,58588868;46,29667541;11;24;60,57168579;27,19944;0;6261335,374;64673,29456;5,309781354;11565;3856;21004;1;republique;2
DIJ-083;854146,9516;6693672,04;2;4,25;7;7,25;22,94311796;114,8847329;36,78124071;75,11448699;5;7;51,39213181;20,17856598;0;2788194,583;99997,41656;5,472095048;15497;5356;24477;1;conseil_regional;3
DIJ-084;854231,0062;6693721,627;2;2;7,5;7;36,59111943;110,4344554;45,1934744;66,7569593;5;7;54,73809433;22,12652969;0;3692518,141;66876,88745;4,581210569;12409;4271;24561;1;conseil_regional;3
DIJ-085;854263,7018;6693696,857;2;2;8;7,75;22,94311796;113,7845733;40,9471719;55,96377912;4;8;51,43067932;21,70506668;0;2047046,608;59708,26552;4,44679581;11443;3959;26302;1;conseil_regional;3
DIJ-086;853003,0567;6693098,352;2;3,25;3;4;2,817599646;8,443644556;4,273394969;7,327123366;4;6;56,51334;9,500366211;0;467538,161;196049,0913;6,509983517;25502;7989;18273;1;arquebuse;3
DIJ-087;853012,4127;6693144,336;2;4;5;4,5;3,633020477;13,30424498;6,918983438;14,4972918;4;5;57,04566574;8,327079773;0;348451,4356;266643,1716;7,598572625;30104;9464;16547;1;arquebuse;3
DIJ-088;853017,3465;6693190,447;3;3;6;5;5,919286702;18,59009814;8,450507134;22,39704605;5;5;57,32812119;10,01639938;0;2417773,573;254222,8684;7,611704998;29337;9816;15977;2;arquebuse;2
DIJ-089;853014,967;6693235,186;3;2;7;3;6,891164827;35,04513687;14,15800046;43,14151025;6;5;57,63230896;14,68917465;0;3526984,509;240562,5874;7,567738894;25388;7972;16670;2;arquebuse;2
DIJ-090;853030,1385;6693283,213;3;4,25;7,5;5,25;5,220382348;37,70476927;22,278187;51,14125265;6;5;59,20755386;14,85620499;0;3908022,815;217108,0305;7,72564646;21466;6549;15149;2;arquebuse;2
DIJ-091;853058,0203;6693273,984;2;4;7;3;5,062191087;21,90744045;18,71529316;41,40674414;6;4;59,39223862;13,41132355;0;3777424,022;236936,8181;7,725354803;25315;8737;13294;0;arquebuse;2
DIJ-092;853044,903;6693209,751;3;3;6;4;5,584043244;16,53728259;8,982692352;28,18013694;6;5;57,88760757;6,632331848;0;3011385,382;260263,7879;7,506828921;31667;11727;12725;2;arquebuse;2
DIJ-093;853043,7893;6693162,136;3;3;6;4;4,610973563;13,91804916;7,958771472;18,02591554;5;5;57,53996658;6,561717987;0;988713,6385;300934,883;7,431163051;35453;12357;12429;2;arquebuse;3
DIJ-094;853039,1058;6693088,935;2;3,5;5;5;2,907327005;6,701193973;4,610973563;6,717127855;4;5;57,17602921;7,512298584;0;484328,5661;244490,6119;6,893380713;28236;8407;17386;0;arquebuse;3
DIJ-095;853093,36;6693095,361;2;2;3;5;3,05786206;4,934509132;5,573260263;6,367614483;4;5;57,31726074;6,795291901;0;452978,615;332938,2557;7,347590715;37857;12376;13156;0;arquebuse;3
DIJ-096;853134,474;6693114,676;2;2,25;4,5;5;2,998210299;6,37745772;5,680970647;8,971265421;3;4;57,45305634;5,062519073;0;474401,4856;381142,6187;7,568893509;43648;15630;10062;1;arquebuse;4
DIJ-097;853129,2281;6693185,777;2;3;6;4;3,292535043;10,97105222;7,838598091;18,21420973;5;5;57,82242584;3,720840454;0;2695920,099;454496,9414;7,302041136;47062;15345;5523;2;arquebuse;2
DIJ-098;853153,4046;6693270,575;2;4;7;7,25;4,686303602;20,10450423;18,71529316;36,21540749;6;5;59,37594223;15,02323914;0;4249374,299;288769,8018;7,876682558;32363;13034;6340;2;arquebuse;2
DIJ-099;853188,4908;6693267,051;2;4;8;10;3,094103943;22,12482931;20,06349343;36,58976731;7;7;60,21245575;15,75246811;0;4985534,662;237159,9093;8,435368783;29425;13370;5435;2;arquebuse;2
DIJ-100;853207,9084;6693197,505;2;3;6;6;2,42612209;7,696897577;9,860690509;24,16462692;5;5;59,0771904;14,23154068;0;4560279,168;340517,8588;7,841553028;37774;14670;5154;1;arquebuse;3
DIJ-101;853200,4354;6693144,982;2;2;6;4;2,953415755;7,434318593;7,331093495;13,14225019;4;5;58,33302307;5,203746796;0;3577837,39;339729,5943;7,869422046;39176;14942;10434;2;arquebuse;4
DIJ-102;853164,4182;6693099,437;2;2;4;5;2,753667362;5,524356452;5,650096606;8,833423281;3;4;57,40417099;8,560653687;0;831416,9827;317953,1531;7,474723599;39389;15077;12699;2;arquebuse;4
DIJ-103;853200,3872;6693090,018;2;2,75;4;5;2,84611295;5,432331498;5,680970647;8,895591405;4;5;57,5616951;8,707309723;0;2230673,819;263410,9032;7,147728091;34532;13752;14501;2;arquebuse;4
DIJ-104;853180,3732;6693071,998;2;2;3;4,75;2,752357341;5,512801812;5,627957322;8,498764181;3;5;57,18689346;9,728507996;0;1169558,044;245189,8819;6,824504419;32825;12529;15652;2;arquebuse;4
DIJ-105;853224,5791;6693085,065;2;2,75;4;5;2,84611295;7,174598763;5,781296212;12,20975045;4;6;57,78440094;7,061454773;0;2740807,192;247177,6256;7,137062889;31175;11849;16173;1;arquebuse;4
DIJ-106;853251,7453;6693138,095;2;2;6;6;2,457899299;6,148292608;7,443605361;12,88361469;5;6;59,13694;11,26029968;0;3876220,617;247702,0215;7,188484302;30149;12215;11223;0;arquebuse;3
DIJ-107;853253,7508;6693192,362;2;3;6;8;2,151580446;7,815686884;9,793652;20,35608936;5;5;60,79909897;14,99743271;0;5052422,579;231982,5815;7,079064082;30023;13295;8126;2;arquebuse;4
DIJ-108;853274,9491;6693226,774;2;3;8,5;8,25;1,904178563;8,881687447;12,58740367;24,23112503;6;6;64,54166412;14,99744034;0;5689427,141;169500,1676;7,21188137;22567;10111;10402;2;arquebuse;4
DIJ-109;853101,9055;6693255,266;2,5;3,75;7;4;3,145935371;16,13076558;12,40180498;32,1538026;6;4;58,865345;12,8355484;0;3598940,83;274841,394;7,782501233;32063;12832;9739;2;arquebuse;4
DIJ-110;853096,5107;6693138,559;2;3;5;4;3,633020477;10,96781642;6,943762281;14,67828118;4;5;57,6594696;3,014698029;0;348990,8701;384561,9733;7,417823123;43860;15415;9257;2;arquebuse;2
DIJ-111;855433,2754;6692550,974;4;7,75;19;5;27,15109203;69,38409145;40,04188698;43,13819329;11;9;51,9804039;6,018024445;0;1747088,025;226226,1547;5,460307647;37699;12460;10820;2;parc_argentieres;4
