id_nestbox;year;breeding_window;laying_date;flight_date;clutch_size;brood_size;fledgling_nb;success_manipulated;father_id;mother_id;species;mass;tarsus_length;wing_length;temp_station_id;cumdd_30;cumdd_60;cumdd_between;min_t_before;min_t_between;mean_winter_t;sd_winter_t
DIJ-054;2019;early_2019;2019-03-27;2019-05-04;10;10;8;0;NA;NA;PM;12,42375000000000;NA;NA;s05;277,970;446,440;429,690;-0,479;0,467;6,18246460176991;3,76916887682494
DIJ-059;2022;early_2022;2022-03-30;2022-05-03;8;8;8;0;8876578;8876579;PM;12,79875000000000;17,6975000000000;37,0000000000000;s64;274,920;463,970;373,760;-1,810;-1,580;5,61646694214876;3,82800472074633
DIJ-067;2019;late_2019;2019-04-07;2019-05-09;8;8;7;0;NA;NA;PM;14,93000000000000;NA;NA;s01;297,040;549,310;371,130;-0,004;1,208;6,46594273127753;3,83155537340836
DIJ-068;2019;early_2019;2019-03-25;2019-04-27;8;5;0;0;NA;NA;PM;NA;NA;NA;s02;282,680;431,400;369,720;-0,563;0,825;6,20433554083885;3,77713249428980
DIJ-068;2020;early_2020;2020-03-25;2020-04-28;10;10;7;0;NA;NA;PM;12,52500000000000;18,2950000000000;NA;s02;263,290;496,280;445,880;0,273;0,962;6,20433554083885;3,77713249428980
DIJ-071;2019;early_2019;2019-03-27;2019-05-04;13;12;0;0;NA;NA;CC;NA;NA;NA;s02;279,420;446,400;429,260;-0,563;0,825;6,20433554083885;3,77713249428980
DIJ-071;2020;early_2020;2020-03-25;2020-04-30;11;11;10;0;NA;NA;CC;8,81000000000000;16,3800000000000;NA;s02;263,290;496,280;474,460;0,273;0,962;6,20433554083885;3,77713249428980
DIJ-071;2021;early_2021;2021-03-28;2021-05-03;11;11;8;0;NA;NA;CC;10,00000000000000;16,7800000000000;33,6250000000000;s02;219,800;432,140;367,410;0,051;-1,384;6,20433554083885;3,77713249428980
DIJ-071;2022;early_2022;2022-03-22;2022-04-26;11;11;10;0;NA;NA;CC;9,88400000000000;NA;36,1000000000000;s02;241,810;390,390;390,070;-0,900;-1,330;6,20433554083885;3,77713249428980
DIJ-072;2019;late_2019;2019-04-09;2019-05-13;9;7;6;0;8791247;8791432;CC;8,65166666666667;NA;NA;s32;267,210;505,730;369,480;-0,676;0,051;5,74497832817337;3,77193716082082
DIJ-072;2020;late_2020;2020-04-06;2020-05-11;10;10;5;0;NA;NA;CC;8,47000000000000;15,2000000000000;NA;s32;259,080;473,530;526,210;-0,032;3,827;5,74497832817337;3,77193716082082
DIJ-072;2021;early_2021;2021-04-02;2021-05-15;14;14;8;0;NA;NA;CC;8,70500000000000;15,4987500000000;32,3125000000000;s67;236,600;446,760;432,020;-0,590;-1,470;5,52811203319502;3,93854016206889
DIJ-073;2020;late_2020;2020-04-15;2020-05-18;9;8;3;0;NA;NA;CC;11,32000000000000;16,3250000000000;NA;s32;312,770;548,200;477,810;-0,032;3,512;5,74497832817337;3,77193716082082
DIJ-073;2022;early_2022;2022-03-22;2022-04-18;9;8;0;0;NA;NA;PM;NA;NA;NA;s32;NA;NA;NA;NA;NA;5,74497832817337;3,77193716082082
DIJ-074;2021;early_2021;2021-04-03;2021-04-26;12;0;0;0;NA;NA;CC;NA;NA;NA;s32;147,340;351,100;NA;-0,648;NA;5,74497832817337;3,77193716082082
DIJ-076;2019;late_2019;2019-04-05;2019-05-14;12;12;4;0;NA;8791552;CC;8,98000000000000;NA;NA;s32;271,740;483,030;419,000;-0,676;0,051;5,74497832817337;3,77193716082082
DIJ-076;2020;late_2020;2020-04-04;2020-05-11;12;11;9;0;NA;NA;CC;NA;16,0766666666667;NA;s32;250,970;465,560;552,770;-0,032;3,274;5,74497832817337;3,77193716082082
DIJ-079;2019;late_2019;2019-04-05;2019-05-09;9;9;8;0;NA;NA;PM;14,32125000000000;NA;NA;s32;271,740;483,030;358,940;-0,676;0,051;5,74497832817337;3,77193716082082
DIJ-079;2021;early_2021;2021-03-26;2021-04-27;9;9;8;0;8791928;8791929;PM;14,60875000000000;19,3087500000000;39,1250000000000;s32;189,270;372,070;NA;-0,648;NA;5,74497832817337;3,77193716082082
DIJ-079;2022;early_2022;2022-03-29;2022-04-20;7;0;0;0;NA;NA;PM;NA;NA;NA;s32;NA;NA;NA;NA;NA;5,74497832817337;3,77193716082082
DIJ-080;2019;early_2019;2019-04-02;2019-05-12;13;11;0;0;NA;NA;CC;NA;NA;NA;s03;284,970;492,850;426,880;-0,283;-0,004;6,17040528634361;3,79242043908837
DIJ-081;2020;early_2020;2020-03-22;2020-04-24;9;NA;0;0;NA;NA;PM;NA;NA;NA;s03;269,240;477,530;396,150;0,356;0,467;6,17040528634361;3,79242043908837
DIJ-082;2020;late_2020;2020-04-07;2020-05-11;9;9;6;0;NA;NA;CC;NA;16,8500000000000;NA;s03;282,970;509,850;529,780;0,467;4,584;6,17040528634361;3,79242043908837
DIJ-082;2022;late_2022;2022-04-07;2022-05-13;12;12;6;0;NA;NA;CC;NA;NA;NA;s03;285,585;486,285;504,770;-1,960;1,180;6,17040528634361;3,79242043908837
DIJ-083;2020;early_2020;2020-03-31;2020-05-03;8;8;6;0;NA;8791854;PM;14,01500000000000;18,4850000000000;NA;s07;262,930;513,510;473,400;0,495;1,643;6,15895474613687;3,79546626151596
DIJ-084;2019;early_2019;2019-03-25;2019-04-29;9;8;0;0;NA;NA;PM;NA;NA;NA;s07;282,630;431,180;382,820;0,079;0,439;6,15895474613687;3,79546626151596
DIJ-084;2021;late_2021;2021-04-05;2021-05-19;12;12;0;0;NA;NA;CC;NA;NA;NA;s07;255,230;460,290;463,430;0,110;-1,410;6,15895474613687;3,79546626151596
DIJ-084;2022;late_2022;2022-04-05;2022-05-13;12;12;0;0;NA;NA;CC;NA;NA;NA;s07;271,180;472,030;524,660;-1,900;0,880;6,15895474613687;3,79546626151596
DIJ-085;2020;early_2020;2020-03-24;2020-04-29;11;11;8;0;8791855;NA;PM;13,20500000000000;18,5050000000000;NA;s01;279,930;512,140;485,560;0,660;1,044;6,46594273127753;3,83155537340836
DIJ-085;2021;early_2021;2021-04-03;2021-05-08;9;9;7;0;8876516;8876517;PM;11,73714285714286;17,6942857142857;33,6428571428571;s01;259,720;481,580;349,330;0,910;-0,700;6,46594273127753;3,83155537340836
DIJ-085;2022;late_2022;2022-04-03;2022-05-08;10;9;9;0;8877407;8876517;PM;12,50888888888889;18,7288888888889;38,3333333333333;s01;288,610;500,120;453,630;-1,070;-0,760;6,46594273127753;3,83155537340836
DIJ-086;2022;early_2022;2022-03-28;2022-05-02;9;9;0;0;NA;NA;PM;NA;NA;NA;s66;246,830;422,620;379,650;-2,480;-1,900;5,06862980769231;3,78134381354151
DIJ-087;2021;early_2021;2021-03-27;2021-04-30;9;9;8;0;NA;8877003;PM;13,03875000000000;18,6675000000000;39,3125000000000;s66;NA;495,190;NA;NA;NA;5,06862980769231;3,78134381354151
DIJ-088;2019;early_2019;2019-03-31;2019-05-03;7;6;6;0;NA;NA;PM;15,42500000000000;NA;NA;s42;262,310;444,220;346,120;-0,873;-0,563;5,78057411504425;3,64153668413190
DIJ-090;2019;early_2019;2019-03-27;2019-05-02;9;9;7;0;NA;NA;PM;14,24000000000000;NA;NA;s42;259,140;414,390;379,840;-0,873;-0,563;5,78057411504425;3,64153668413190
DIJ-090;2021;early_2021;2021-04-02;2021-05-05;8;7;6;0;1299BFC;NA;PM;14,38166666666667;19,4600000000000;39,8333333333333;s66;NA;517,490;NA;NA;NA;5,06862980769231;3,78134381354151
DIJ-090;2022;late_2022;2022-04-10;2022-04-18;4;0;0;0;NA;NA;PM;NA;NA;NA;s66;277,390;465,440;99,300;-1,900;1,510;5,06862980769231;3,78134381354151
DIJ-091;2019;late_2019;2019-04-12;2019-05-21;14;5;5;0;NA;NA;CC;7,58800000000000;NA;NA;s42;271,400;505,020;439,250;0,051;-0,563;5,78057411504425;3,64153668413190
DIJ-092;2019;late_2019;2019-04-04;2019-05-13;10;9;7;0;8791404;8791396;CC;6,36857142857143;NA;NA;s42;269,040;470,510;410,590;-0,873;-0,563;5,78057411504425;3,64153668413190
DIJ-092;2020;early_2020;2020-03-29;2020-05-04;7;7;7;0;NA;NA;CC;10,94000000000000;16,4850000000000;NA;s42;246,850;484,300;466,190;-0,199;-0,395;5,78057411504425;3,64153668413190
DIJ-093;2020;early_2020;2020-03-25;2020-04-27;8;8;8;0;8382541;NA;PM;15,35500000000000;18,9200000000000;NA;s42;248,240;471,290;402,060;-0,199;-0,395;5,78057411504425;3,64153668413190
DIJ-093;2021;early_2021;2021-03-31;2021-04-23;12;0;0;0;NA;NA;CC;NA;NA;NA;s66;NA;512,240;NA;NA;NA;5,06862980769231;3,78134381354151
DIJ-096;2019;late_2019;2019-04-03;2019-05-13;11;7;7;0;NA;8791413;CC;6,32857142857143;NA;NA;s42;272,390;467,520;415,390;-0,873;-0,563;5,78057411504425;3,64153668413190
DIJ-096;2020;late_2020;2020-04-16;2020-05-19;7;6;0;0;NA;NA;PM;NA;NA;NA;s42;309,330;546,510;475,960;-0,395;4,506;5,78057411504425;3,64153668413190
DIJ-096;2021;late_2021;2021-04-19;2021-05-20;7;7;6;0;NA;8877054;PM;14,57500000000000;19,0416666666667;40,7500000000000;s66;NA;607,880;NA;NA;NA;5,06862980769231;3,78134381354151
DIJ-096;2022;late_2022;2022-04-11;2022-05-14;6;3;1;0;NA;7556111;PM;16,68000000000000;19,2400000000000;48,5000000000000;s66;274,300;467,300;470,270;-1,900;5,230;5,06862980769231;3,78134381354151
DIJ-097;2020;late_2020;2020-04-12;2020-05-15;9;NA;0;0;NA;NA;CC;NA;NA;NA;s42;291,940;517,930;467,640;-0,395;4,506;5,78057411504425;3,64153668413190
DIJ-097;2021;late_2021;2021-04-19;2021-05-21;7;7;6;0;8382544;8877055;PM;14,11000000000000;19,1350000000000;42,9166666666667;s66;NA;607,880;NA;NA;NA;5,06862980769231;3,78134381354151
