id_nestbox;year;date;laying_date;incubation_date;hatching_date;clutch_size;brood_size;fledgling_nb;success_manipulated;father_id;mother_id;species;mass;tarsus_length;wing_length
DIJ-111;2022;07/05/2022;04/04/2022;11/04/2022;24/04/2022;9;9;10;1;NA;NA;PM;14,65700000000000;19,2940000000000;42,2500000000000
DIJ-112;2020;05/05/2020;31/03/2020;NA;NA;7;6;5;0;8791881;NA;PM;16,44500000000000;18,5150000000000;NA
DIJ-112;2021;11/05/2021;03/04/2021;10/04/2021;28/04/2021;9;9;4;0;NA;NA;CC;7,03750000000000;15,2100000000000;28,3750000000000
DIJ-113;2019;30/04/2019;26/03/2019;NA;NA;9;9;8;0;NA;0917BFC;PM;13,47875000000000;18,0875000000000;42,1250000000000
DIJ-113;2022;05/05/2022;01/04/2022;06/04/2022;22/04/2022;7;7;7;0;NA;NA;PM;16,95714285714286;19,5800000000000;46,7857142857143
DIJ-114;2020;26/04/2020;26/03/2020;NA;NA;7;7;6;0;0325BFC;NA;PM;18,14500000000000;19,4600000000000;NA
DIJ-114;2021;11/05/2021;04/04/2021;09/04/2021;28/04/2021;7;6;6;0;NA;8877026;PM;14,79666666666667;18,6266666666667;42,1666666666667
DIJ-115;2021;11/05/2021;31/03/2021;07/04/2021;28/04/2021;6;6;7;1;8791881;8877025;PM;13,37857142857143;18,4714285714286;40,8571428571429
DIJ-115B;2019;07/05/2019;01/04/2019;NA;NA;11;11;6;0;NA;NA;CC;9,38833333333333;NA;NA
DIJ-115B;2020;30/04/2020;27/03/2020;NA;NA;8;8;8;0;NA;NA;CC;10,16500000000000;16,5250000000000;NA
DIJ-116;2021;09/05/2021;04/04/2021;12/04/2021;26/04/2021;10;10;6;0;NA;NA;CC;9,18666666666667;16,1300000000000;33,1666666666667
DIJ-116;2022;07/05/2022;28/03/2022;06/04/2022;24/04/2022;8;5;4;0;NA;NA;PM;17,36500000000000;19,7100000000000;47,2500000000000
DIJ-117;2020;12/05/2020;07/04/2020;NA;29/04/2020;7;6;0;0;NA;NA;PM;NA;NA;NA
